title,url,time,section,subsection,summary
天下霸唱：是讲民间故事的人，也是“老二次元”｜深度访谈,https://www.jfdaily.com/news/detail?id=1049325,2026-01-09 21:16:31,文学报,文学现场,天下霸唱回顾了写作《鬼吹灯》系列时的创作状态，以及读者最关心的他近年为何转型现实题材写作的背后故事。
碧水映苍山，洱海走出人水和谐之路,https://www.jfdaily.com/news/detail?id=1049625,2026-01-09 21:16:05,要闻,时政要闻,
【新思想引领新征程】科技创新活力涌动 新质生产力加速汇聚,https://www.jfdaily.com/news/detail?id=1049624,2026-01-09 21:15:43,要闻,时政要闻,
壹视界·任平文章解读｜“为人民出政绩、以实干出政绩”,https://www.jfdaily.com/news/detail?id=1049623,2026-01-09 21:15:31,要闻,时政要闻,
美方正在加勒比海扣押一艘油轮,https://www.jfdaily.com/news/detail?id=1049612,2026-01-09 21:13:44,天下,纵览,
“火星合日”来了 火星“失联”会影响日常生活吗？,https://www.jfdaily.com/news/detail?id=1049614,2026-01-09 21:11:48,天下,纵览,
“火星合日”来了 火星“失联”会影响日常生活吗？,https://www.jfdaily.com/news/detail?id=1049614,2026-01-09 21:11:48,天下,纵览,
能力导向、实绩优先，这个评价体系为产业人才铺就成长快车道,https://www.jfdaily.com/news/detail?id=1049559,2026-01-09 21:11:41,区情,Yeah！上海,构建起一套聚焦实践能力、创新贡献和产业适配度的综合评价体系
沪港创新项目研讨会在沪举行，两地专家共话科创合作,https://www.jfdaily.com/news/detail?id=1049560,2026-01-09 21:11:09,区情,Yeah！上海,进一步深化沪港在科创领域的交流与合作
这是青年触摸历史，对话传统的活力课堂,https://www.jfdaily.com/news/detail?id=1049561,2026-01-09 21:10:26,区情,Yeah！上海,唤醒千年文明的时代回响
文汇视讯｜ 阔别两年上海科技馆即将回归！全球首部生肖巨幕电影首映,https://www.jfdaily.com/news/detail?id=1049610,2026-01-09 21:05:12,视频,文汇视讯,当银幕亮起，八匹马的肌肉纹理与呼吸律动纤毫毕现，宛如亲临自然现场，为观众带来更加沉浸的视听盛宴。
龚正市长主持召开基层干部代表座谈会，支持基层改革创新、大胆探索、完善治理,https://www.jfdaily.com/news/detail?id=1049532,2026-01-09 21:00:41,政情,直通200号,就2026年《政府工作报告》（征求意见稿）以及政府工作，听取街镇基层代表的意见建议。
美商务部长：美印贸易谈判停滞原因在于莫迪未致电特朗普,https://www.jfdaily.com/news/detail?id=1049594,2026-01-09 20:49:07,天下,纵览,
“停止干涉委内瑞拉!”——南非民众在美国使馆前筑起“正义之墙”,https://www.jfdaily.com/news/detail?id=1049593,2026-01-09 20:47:44,天下,纵览,
伊朗指责美以策划伊朗动乱，哈梅内伊发表讲话呼吁“保持团结，战胜敌人”,https://www.jfdaily.com/news/detail?id=1049578,2026-01-09 20:46:39,天下,纵览,
彭清华会见伊朗确定国家利益委员会考察团,https://www.jfdaily.com/news/detail?id=1049580,2026-01-09 20:42:49,天下,纵览,
反诈舞曲+疗愈犬普法！黄浦公安“110”宣传走新又走心,https://www.jfdaily.com/news/detail?id=1049573,2026-01-09 20:37:08,社会,新民法谭,黄浦公安“110”宣传走新又走心，反诈舞曲、疗愈犬普法、无人机讲解，守护平安更显温情。
凡是下围棋的，总有机会相识 | 蒋锡久,https://www.jfdaily.com/news/detail?id=1047044,2026-01-09 20:37:03,副刊,笔会,我与文璧老弟结识已逾五十三个春秋。是哪一天认识的，我可以十分准确地告诉你……
全球第一！Omdia报告显示智元登顶全球人形机器人出货量榜首,https://www.jfdaily.com/news/detail?id=1049568,2026-01-09 20:36:54,区情,十六区,Omdia预测，未来十年人形机器人市场将迎来指数级增长，到2035年全球出货量有望达到260万台。
全球第一！Omdia报告显示智元登顶全球人形机器人出货量榜首,https://www.jfdaily.com/news/detail?id=1049568,2026-01-09 20:36:54,区情,十六区,Omdia预测，未来十年人形机器人市场将迎来指数级增长，到2035年全球出货量有望达到260万台。
江西省共青城市委书记万建明被查,https://www.jfdaily.com/news/detail?id=1049575,2026-01-09 20:35:21,天下,纵览,
视频｜当我走进上海的一家主理人店……,https://www.jfdaily.com/news/detail?id=1049566,2026-01-09 20:34:53,区情,上海屋檐下,老说上海特产“主理人”，主理人会“主理”些什么呢？
国内第一张神经接口驱动“手功能辅助系统”医疗器械注册证花落普陀,https://www.jfdaily.com/news/detail?id=1049569,2026-01-09 20:34:46,区情,上海屋檐下,这意味着，用于脑卒中等疾病康复辅助治疗的手部外骨骼设备将加速走入患者生活。
原山东银保监局一级巡视员孙建宁严重违纪违法被开除党籍,https://www.jfdaily.com/news/detail?id=1049576,2026-01-09 20:34:37,天下,纵览,
女子看胃病被建议做心脏微创手术身亡，鉴定为一级甲等医疗事故，院方道歉,https://www.jfdaily.com/news/detail?id=1049577,2026-01-09 20:34:05,社会,新瞰点,院方称，家属提出的赔偿金额超出标准，争取尽早依法妥善解决。
又能看日出云海了！今起，杭州太子尖重新开放,https://www.jfdaily.com/news/detail?id=1049554,2026-01-09 20:31:50,长三角,江南,登山口增设道闸，实名预约
2026浙皖闽赣联盟花园・九山争霸体育大赛明启幕,https://www.jfdaily.com/news/detail?id=1049528,2026-01-09 20:31:42,长三角,江南,“物理相邻”真正转化为“发展共融”
国内首个！杭州火箭“超级工厂”年产25发火箭,https://www.jfdaily.com/news/detail?id=1049542,2026-01-09 20:31:28,长三角,江南,单公斤发射成本低于2万元
过江隧道+1！宁波：保护梅墟历史地段,https://www.jfdaily.com/news/detail?id=1049547,2026-01-09 20:31:10,长三角,江南,规划过江隧道、地铁9号线穿过
上海“一江一河”岸线持续推进贯通开放，治理理念从“管理”向“服务”转型,https://www.jfdaily.com/news/detail?id=1049563,2026-01-09 20:16:16,经济,城生活,水岸联系不断加强。
“微信朋友圈里这个功能你肯定还不知道？”很多人今天才学会！,https://www.jfdaily.com/news/detail?id=1049567,2026-01-09 20:07:29,社会,新瞰点,网友留言：微信，你到底还有多少功能是我们不知道的！
证监会对天普股份股票交易异常波动公告涉嫌重大遗漏立案调查,https://www.jfdaily.com/news/detail?id=1049565,2026-01-09 20:05:22,天下,纵览,
证监会对天普股份股票交易异常波动公告涉嫌重大遗漏立案调查,https://www.jfdaily.com/news/detail?id=1049565,2026-01-09 20:05:22,天下,纵览,
塞浦路斯议会外宾访问上海,https://www.jfdaily.com/news/detail?id=1049487,2026-01-09 20:01:58,政情,伴公汀,塞浦路斯议会外宾访问上海
机器人唱《霸王别姬》？上海青年弘扬传统文化，有的是办法,https://www.jfdaily.com/news/detail?id=1049540,2026-01-09 20:01:51,政情,伴公汀,“青声传韵 申声不息”弘扬中华优秀传统文化主题展演活动举行
“侦探课堂”、体能训练……“少年警校”课题推广活动在浦东举行,https://www.jfdaily.com/news/detail?id=1049522,2026-01-09 20:01:34,社会,新民法谭,未来，“少年警校”平台将继续凝聚青春力量。
加码烘焙赛道，亿滋中国激活在华增长新动能,https://www.jfdaily.com/news/detail?id=1049519,2026-01-09 20:00:49,经济,交汇点,锚定烘焙赛道，激活增长曲线
幼童与少年的海底捞事件，为何责任差别那么大？,https://www.jfdaily.com/news/detail?id=1049562,2026-01-09 20:00:39,天下,纵览,
2026年首单！299辆国产客车从闵行启运奔赴阿尔及利亚,https://www.jfdaily.com/news/detail?id=1049508,2026-01-09 20:00:32,区情,Yeah！上海,持续优化营商环境、助力港航经济发展
夜读 | 阿果：每一匹马都神采奕奕,https://www.jfdaily.com/news/detail?id=1049282,2026-01-09 20:00:02,副刊,夜光杯,与爱马共度一段轻松而逸兴的时光，如马儿般神采奕奕地开启下一段生活。
上观时评 | 大学生成绩差家长要“陪读”？问题不只是“高中化”,https://www.jfdaily.com/news/detail?id=1049513,2026-01-09 19:54:53,评论,时评,更值得探讨的是如何打破这种教育压力层层传导的局面
“上海鲸鱼牌”消防水带质量伪劣仍对外销售，案值超400万！实控人被刑拘,https://www.jfdaily.com/news/detail?id=1049496,2026-01-09 19:54:45,社会,案页,目前，犯罪嫌疑人肖某已被上海警方依法刑事拘留。
男子豪饮10升“快乐水”，血糖爆表升高15倍！上海医生紧急抢救,https://www.jfdaily.com/news/detail?id=1049502,2026-01-09 19:51:13,教卫,健康生活,一旦发病，进展迅猛。
长图 | 鼻病毒检出阳性率上升，中疾控：无特效药及疫苗，做好这点很关键,https://www.jfdaily.com/news/detail?id=1049371,2026-01-09 19:51:06,教卫,健康生活,鼻病毒是导致呼吸道症状的主要病原体之一。
新一轮“双一流”建设启动！2026年全国教育工作必看这六大变化,https://www.jfdaily.com/news/detail?id=1049359,2026-01-09 19:50:57,教卫,文汇教育,2026年全国教育工作最受关注的六大变化。
新一轮“双一流”建设启动！2026年全国教育工作必看这六大变化,https://www.jfdaily.com/news/detail?id=1049359,2026-01-09 19:50:57,教卫,文汇教育,2026年全国教育工作最受关注的六大变化。
甲状腺癌生存率92.9%，复发率却达20%？国产新药破解术后评估困局,https://www.jfdaily.com/news/detail?id=1049317,2026-01-09 19:50:48,教卫,健康生活,术后10年复发率可达20%。
她两次患癌仍想保乳，上海医生用国产单孔手术机器人实现“隐形”手术,https://www.jfdaily.com/news/detail?id=1049308,2026-01-09 19:50:38,教卫,健康生活,一场兼具根治与美学的“重生”手术。
产妇家中产子遭遇严重裂伤，医生提醒：切勿等到“痛到不行”才就医,https://www.jfdaily.com/news/detail?id=1049293,2026-01-09 19:50:29,教卫,健康生活,疼痛程度不能作为判断是否就医的标准。
电碳协同技术破解零碳园区转型难题，获中国节能协会科技进步一等奖,https://www.jfdaily.com/news/detail?id=1049544,2026-01-09 19:50:25,经济,城生活,国网上海电科院电碳协同攻关团队提供了可复制、可推广的绿色低碳转型技术路径。
张伯礼院士领衔，复方刺五加颗粒启动新研究,https://www.jfdaily.com/news/detail?id=1049244,2026-01-09 19:50:22,教卫,健康生活,推动特色中医药资源的深度开发
历时一年攻坚“瓶改电”，浦东张江商圈告别“钢瓶焦虑”,https://www.jfdaily.com/news/detail?id=1049552,2026-01-09 19:49:20,经济,城生活,在多方协作下，张江镇玉兰香苑商业广场瓶装液化石油气替代改造工程终于画上圆满句号。
假冒伪劣家用电器，严打！新年刚过9天上海警方已破获6起案件,https://www.jfdaily.com/news/detail?id=1049514,2026-01-09 19:46:02,社会,新民法谭,从源头防控冬季火灾隐患。
5人违规穿越“鳌太线”3人遇难！体育总局：严禁违规开展徒步穿越等活动,https://www.jfdaily.com/news/detail?id=1049557,2026-01-09 19:44:34,社会,新瞰点,据了解，此次违规穿越的5人中，1名为女性，4名为男性。年龄最大的32岁，年龄最小的19岁。
上海警方侦破一起销售伪劣消防水带案，涉案金额400余万元,https://www.jfdaily.com/news/detail?id=1049509,2026-01-09 19:40:37,社会,新民法谭,目前，肖某已被上海警方依法刑事拘留，案件正在进一步侦查中。
看，传统文化今天被这群申城年轻人玩出了花！,https://www.jfdaily.com/news/detail?id=1049551,2026-01-09 19:34:38,经济,城生活,青声传韵，申声不息！
半天狂饮10升“快乐水”，男子血糖爆表升高15倍，差点送命,https://www.jfdaily.com/news/detail?id=1049523,2026-01-09 19:33:22,教卫,康健园,喝太多了吧！
为长远关系注入持续活力，韩中大学生聊出哪些火花？|讲堂视频,https://www.jfdaily.com/news/detail?id=1049553,2026-01-09 19:30:51,"思想,政情,文化,国际",文汇讲堂,韩学者：很小一步但至关重要，学生：期待更多访学交流机制来增进理解
